-2.0	 50.5	 0.000	 0.000
-0.3	 50.5	 0.000	 0.000
1.5	 50.5	 -0.141	 1.953
3.3	 50.5	 -0.235	 2.024
5.2	 50.5	 -0.400	 2.118
6.9	 50.5	 -0.306	 1.765
8.8	 50.5	 0.000	 0.000
10.7	 50.5	 0.000	 0.000
12.4	 50.5	 -0.259	 1.977
14.2	 50.5	 -0.247	 1.788
16.1	 50.5	 0.000	 0.000
17.9	 50.5	 -2.718	 3.412
19.6	 50.5	 0.000	 0.000
21.4	 50.5	 -0.012	 1.965
23.3	 50.5	 0.094	 1.930
25.1	 50.5	 -0.259	 1.800
26.9	 50.5	 -0.224	 2.824
28.6	 50.5	 0.047	 1.683
30.5	 50.5	 0.071	 1.788
32.3	 50.5	 0.000	 0.000
34.1	 50.5	 0.012	 1.718
36.0	 50.5	 -0.247	 2.341
37.8	 50.5	 0.212	 1.694
39.5	 50.5	 -0.082	 1.871
41.4	 50.5	 0.000	 0.000
43.1	 50.5	 -0.200	 1.694
45.0	 50.5	 0.000	 0.000
46.8	 50.5	 -0.153	 2.377
48.5	 50.5	 -0.306	 2.036
50.4	 50.5	 -0.247	 1.930
52.1	 50.5	 0.106	 2.271
54.0	 50.5	 0.071	 2.259
55.8	 50.5	 0.377	 2.318
57.5	 50.5	 -0.082	 2.318
59.5	 50.5	 -0.235	 1.953
61.3	 50.5	 0.247	 2.330
63.0	 50.5	 0.812	 2.412
64.8	 50.5	 0.000	 0.000
66.7	 50.5	 0.577	 2.106
68.5	 50.5	 0.000	 0.000
70.3	 50.5	 0.000	 0.000
-2.0	 52.3	 0.000	 0.000
-0.3	 52.3	 0.000	 0.000
1.5	 52.3	 0.000	 0.000
3.3	 52.3	 0.459	 1.365
5.2	 52.3	 0.000	 0.000
6.9	 52.3	 -0.259	 2.083
8.8	 52.3	 0.000	 0.000
10.7	 52.3	 0.000	 0.000
12.4	 52.3	 -0.471	 2.541
14.2	 52.3	 -0.318	 2.400
16.1	 52.3	 -0.071	 2.318
17.9	 52.3	 0.035	 1.694
19.6	 52.3	 0.000	 0.000
21.4	 52.3	 0.024	 1.741
23.3	 52.3	 0.047	 2.047
25.1	 52.3	 0.106	 2.047
26.9	 52.3	 0.365	 1.777
28.6	 52.3	 0.400	 1.683
30.5	 52.3	 0.012	 1.777
32.3	 52.3	 0.059	 1.659
34.1	 52.3	 0.000	 0.000
36.0	 52.3	 0.000	 2.177
37.8	 52.3	 0.000	 2.212
39.5	 52.3	 -0.059	 2.318
41.4	 52.3	 0.588	 1.459
43.1	 52.3	 0.012	 2.141
45.0	 52.3	 -0.600	 3.400
46.8	 52.3	 -0.176	 2.953
48.5	 52.3	 0.000	 0.000
50.4	 52.3	 -0.247	 2.953
52.1	 52.3	 -0.035	 3.165
54.0	 52.3	 0.035	 2.377
55.8	 52.3	 0.212	 2.365
57.5	 52.3	 -0.129	 2.177
59.5	 52.3	 0.565	 1.635
61.3	 52.3	 0.612	 2.283
63.0	 52.3	 0.529	 2.424
64.8	 52.3	 0.482	 2.224
66.7	 52.3	 0.247	 2.318
68.5	 52.3	 0.000	 0.000
70.3	 52.3	 0.000	 0.000
-2.0	 54.1	 0.000	 0.000
-0.3	 54.1	 0.000	 0.000
1.5	 54.1	 0.000	 0.000
3.3	 54.1	 -0.153	 1.506
5.2	 54.1	 -0.282	 2.153
6.9	 54.1	 -0.412	 2.236
8.8	 54.1	 -0.188	 1.941
10.7	 54.1	 0.482	 1.612
12.4	 54.1	 0.000	 0.000
14.2	 54.1	 -0.118	 2.130
16.1	 54.1	 -0.365	 1.800
17.9	 54.1	 0.000	 0.000
19.6	 54.1	 -0.118	 1.635
21.4	 54.1	 -0.059	 1.718
23.3	 54.1	 0.224	 2.377
25.1	 54.1	 0.059	 1.941
26.9	 54.1	 0.000	 0.000
28.6	 54.1	 0.529	 1.683
30.5	 54.1	 0.141	 1.706
32.3	 54.1	 0.024	 1.694
34.1	 54.1	 1.024	 2.094
36.0	 54.1	 -0.224	 2.047
37.8	 54.1	 -0.082	 1.965
39.5	 54.1	 0.235	 1.988
41.4	 54.1	 0.129	 1.530
43.1	 54.1	 0.329	 2.024
45.0	 54.1	 0.306	 1.812
46.8	 54.1	 0.141	 2.200
48.5	 54.1	 -0.035	 2.177
50.4	 54.1	 -0.024	 2.271
52.1	 54.1	 -0.141	 2.436
54.0	 54.1	 0.000	 0.000
55.8	 54.1	 0.000	 0.000
57.5	 54.1	 -0.129	 2.059
59.5	 54.1	 0.000	 2.377
61.3	 54.1	 -0.612	 0.988
63.0	 54.1	 0.000	 0.000
64.8	 54.1	 0.612	 2.341
66.7	 54.1	 0.000	 0.000
68.5	 54.1	 0.000	 0.000
70.3	 54.1	 0.000	 0.000
-2.0	 55.9	 0.000	 0.000
-0.3	 55.9	 -0.682	 2.200
1.5	 55.9	 -0.259	 2.036
3.3	 55.9	 -0.600	 2.177
5.2	 55.9	 0.000	 2.188
6.9	 55.9	 0.906	 1.683
8.8	 55.9	 0.435	 1.824
10.7	 55.9	 0.341	 1.612
12.4	 55.9	 0.000	 0.000
14.2	 55.9	 -0.035	 1.988
16.1	 55.9	 0.000	 0.000
17.9	 55.9	 -0.035	 1.647
19.6	 55.9	 -0.153	 1.600
21.4	 55.9	 0.071	 1.659
