0.9	65.9	0.000	0.000
2.7	65.9	0.000	0.000
4.5	65.9	0.000	0.000
6.2	65.9	0.000	-0.244
8.0	65.9	0.081	-0.720
9.8	65.9	0.163	-0.290
11.6	65.9	0.058	-0.348
13.4	65.9	0.232	-0.674
15.2	65.9	0.221	-0.197
16.9	65.9	0.209	-0.627
18.7	65.9	0.046	-0.151
20.5	65.9	0.081	-0.267
22.3	65.9	0.279	-0.267
24.1	65.9	0.232	-0.197
25.9	65.9	0.279	-0.093
27.6	65.9	0.232	-0.070
29.4	65.9	0.325	-0.174
31.2	65.9	0.128	-0.163
33.0	65.9	0.302	-0.046
34.8	65.9	0.383	-0.209
36.6	65.9	0.186	-0.139
38.3	65.9	0.070	-0.046
40.1	65.9	0.151	0.000
41.9	65.9	0.128	-0.081
43.7	65.9	0.012	-0.093
45.5	65.9	0.058	-0.360
47.3	65.9	0.012	-0.232
49.0	65.9	-0.035	-0.163
50.8	65.9	-0.012	-0.105
52.6	65.9	0.128	-0.255
54.4	65.9	0.093	-0.395
56.2	65.9	0.139	-0.174
58.0	65.9	0.174	-0.035
59.8	65.9	0.534	0.035
61.5	65.9	0.674	0.058
63.3	65.9	0.650	0.174
65.1	65.9	0.557	0.105
66.9	65.9	0.255	0.070
68.7	65.9	0.000	0.000
70.5	65.9	0.000	0.000
72.2	65.9	0.000	0.000
0.9	67.7	0.000	0.000
2.7	67.7	0.000	0.000
4.5	67.7	0.000	0.000
6.2	67.7	-0.058	-0.105
8.0	67.7	0.000	-0.186
9.8	67.7	0.046	-0.314
11.6	67.7	0.139	-0.209
13.4	67.7	0.046	-0.255
15.2	67.7	0.116	-0.337
16.9	67.7	0.139	-0.186
18.7	67.7	0.093	-0.221
20.5	67.7	0.105	-0.279
22.3	67.7	0.372	-0.279
24.1	67.7	0.360	-0.046
25.9	67.7	0.139	-0.093
27.6	67.7	0.128	-0.325
29.4	67.7	0.197	-0.325
31.2	67.7	0.116	-0.174
33.0	67.7	0.023	-0.151
34.8	67.7	0.116	-0.116
36.6	67.7	0.023	-0.070
38.3	67.7	0.012	-0.046
40.1	67.7	0.081	-0.035
41.9	67.7	0.105	-0.267
43.7	67.7	0.046	-0.279
45.5	67.7	0.000	0.000
47.3	67.7	0.197	-0.244
49.0	67.7	0.012	-0.058
50.8	67.7	0.000	-0.070
52.6	67.7	0.186	-0.081
54.4	67.7	0.105	-0.383
56.2	67.7	0.139	-0.035
58.0	67.7	0.232	0.012
59.8	67.7	0.534	-0.070
61.5	67.7	0.592	-0.058
63.3	67.7	0.685	0.070
65.1	67.7	0.604	0.046
66.9	67.7	0.453	0.081
68.7	67.7	0.000	0.000
70.5	67.7	0.000	0.000
72.2	67.7	0.000	0.000
0.9	69.5	0.000	0.000
2.7	69.5	0.000	0.000
4.5	69.5	0.000	0.000
6.2	69.5	0.023	-0.221
8.0	69.5	0.046	-0.267
9.8	69.5	-0.012	-0.267
11.6	69.5	0.430	-0.081
13.4	69.5	0.139	-0.360
15.2	69.5	0.093	-0.557
16.9	69.5	-0.035	-0.255
18.7	69.5	-0.012	-0.209
20.5	69.5	0.255	-0.116
22.3	69.5	0.232	-0.058
24.1	69.5	0.174	-0.209
25.9	69.5	0.186	-0.255
27.6	69.5	0.035	-0.163
29.4	69.5	0.081	-0.093
31.2	69.5	-0.081	-0.105
33.0	69.5	-0.046	-0.163
34.8	69.5	0.070	-0.093
36.6	69.5	0.093	-0.046
38.3	69.5	0.128	-0.035
40.1	69.5	-0.012	-0.012
41.9	69.5	0.023	-0.325
43.7	69.5	0.000	-0.523
45.5	69.5	-0.070	-0.360
47.3	69.5	0.105	-0.279
49.0	69.5	0.058	-0.116
50.8	69.5	0.035	-0.128
52.6	69.5	0.035	-0.221
54.4	69.5	0.232	-0.046
56.2	69.5	0.267	-0.105
58.0	69.5	0.232	-0.070
