1.2	1.2	0.000	0.000
3.0	1.2	0.000	0.000
4.8	1.2	-0.012	1.788
6.6	1.2	0.082	2.177
8.4	1.2	0.035	2.012
10.2	1.2	0.035	1.177
12.0	1.2	0.176	1.671
13.9	1.2	0.118	2.012
15.7	1.2	-0.718	0.565
17.5	1.2	0.000	0.000
19.3	1.2	0.000	0.000
21.1	1.2	-1.106	1.400
22.9	1.2	0.000	0.000
24.7	1.2	-0.118	0.635
26.5	1.2	-0.341	1.259
28.3	1.2	-0.365	1.388
30.1	1.2	-0.412	1.506
31.9	1.2	-0.212	1.224
33.7	1.2	0.000	1.247
35.5	1.2	-0.094	1.318
37.4	1.2	-0.224	1.588
39.2	1.2	-0.200	1.506
41.0	1.2	-0.365	1.200
42.8	1.2	-0.329	1.541
44.6	1.2	-0.071	1.588
46.4	1.2	-0.118	1.577
48.2	1.2	-0.235	1.565
50.0	1.2	-0.153	1.494
51.8	1.2	-0.012	1.435
53.6	1.2	-0.059	1.553
55.4	1.2	-0.129	1.353
57.2	1.2	-0.059	1.341
59.0	1.2	0.047	1.200
60.8	1.2	0.176	1.106
62.7	1.2	0.094	1.012
64.5	1.2	0.035	0.906
66.3	1.2	0.000	0.800
68.1	1.2	0.235	0.859
69.9	1.2	-0.024	0.788
71.7	1.2	-0.129	0.930
73.5	1.2	0.024	1.082
1.2	3.0	0.000	0.000
3.0	3.0	0.000	0.000
4.8	3.0	0.000	0.000
6.6	3.0	-0.094	2.224
8.4	3.0	0.188	2.212
10.2	3.0	0.165	1.706
12.0	3.0	0.412	2.141
13.9	3.0	0.271	2.130
15.7	3.0	0.588	1.624
17.5	3.0	0.000	0.000
19.3	3.0	0.000	0.000
21.1	3.0	-1.200	1.377
22.9	3.0	-0.694	1.447
24.7	3.0	-0.529	0.930
26.5	3.0	-0.565	0.988
28.3	3.0	-0.224	0.965
30.1	3.0	-0.188	1.000
31.9	3.0	-0.494	1.318
33.7	3.0	-0.035	0.977
35.5	3.0	-0.259	1.424
37.4	3.0	-0.388	1.541
39.2	3.0	-0.129	1.400
41.0	3.0	-0.141	1.447
42.8	3.0	-0.165	1.400
44.6	3.0	-0.012	1.530
46.4	3.0	-0.306	1.683
48.2	3.0	-0.188	1.671
50.0	3.0	-0.200	1.647
51.8	3.0	0.035	1.718
53.6	3.0	-0.129	1.635
55.4	3.0	-0.141	1.471
57.2	3.0	-0.035	1.447
59.0	3.0	-0.153	1.388
60.8	3.0	-0.059	1.153
62.7	3.0	-0.047	1.224
64.5	3.0	0.035	1.024
66.3	3.0	0.047	0.871
68.1	3.0	0.059	0.824
69.9	3.0	0.000	0.729
71.7	3.0	-0.035	0.953
